texto;class
"Aeroporto de Guarulhos indica empresa para fazer transporte da CPTM ao terminal (via Painel S.A. de @JoanaCunhaO)

https://t.co/iMUbFgqcwI";teste
"Lula volta a criticar Moro ao receber título de cidadão honorário de Paris; ex-presidente afirmou também que o país vive um enfraquecimento do processo democrático (via @folha_poder)

https://t.co/l2vmVl5izm";teste
"Gleisi Hoffmann está namorando ex-senador Lindbergh Farias (via @monicabergamo)

https://t.co/WrW1xPynyy";teste
"O genoma do coronavírus Sars-CoV-2 isolado no segundo paciente brasileiro diagnosticado com a doença no sábado (29) é diferente do encontrado no primeiro caso, confirmado em 26 de fevereiro (via @folhaequilibrio)

 https://t.co/Exce49qGsZ";teste
"O ministro da Justiça, Sergio Moro, decidiu politizar o fim do motim de policiais militares do Ceará; nas redes sociais, Moro rebateu Ciro Gomes e disse que crise só foi resolvida 'pela ação do governo federal' (via @folha_poder)

https://t.co/H6DJelC98z";teste
Chuva provoca soterramentos, inundações e mortes na Baixada Santista https://t.co/azVrD7K8Qo;teste
Bom dia, esta é a capa da #folha desta terça-feira (3). Acesse https://t.co/OUrEFevL3e para ler mais. #folhadespaulo #fsp https://t.co/zl4DnZo56i;teste
Por que é melhor não precisar do sistema de saúde nos EUA? Ouça podcast https://t.co/F7iK9qiRGg;teste
Secretaria divulga endereço para detenta trans sem visitas receber cartas https://t.co/9GGD2kEi5Y;teste
Grandes companhias intensificam prevenção ao coronavírus no Brasil https://t.co/NGEQM7QrDN;teste
Leitores criticam descaso do governo com Bolsa Família https://t.co/XX6i9ARd0C;teste
Congresso emergente https://t.co/DYuZoZKkJE;teste
Socialista, Sanders provoca choque de gerações em latinos no Texas https://t.co/QX2tRKE1Ve;teste
Momento mais célebre de Martinho Lutero talvez nunca tenha acontecido, diz historiadora https://t.co/skjj5SxZyQ;teste
Bolsa para quem precisa https://t.co/4Ue4bN3im0;teste
Após protestos, Nixon se desculpa com o presidente da França https://t.co/c7NFugN1z0;teste
Romance de ganhador do Jabuti, 'Roupas Sujas' investiga tragédia familiar https://t.co/xoFS52ZBbe;teste
Ctrl+C Ctrl+V criou cultura do remix e turbinou era em que arte se faz roubando https://t.co/FgQO0IZDJ4;teste
Planalto aposta em vitória no Senado, mas teme retaliação na Câmara na briga por verbas https://t.co/VUTu6I6mUm;teste
Fla gasta mais que seus rivais juntos por raro bi na Libertadores https://t.co/3WyZk3RHgo;teste
'A Vida Invisível' está disponível sob demanda https://t.co/znYsXH4a7Q;teste
Jeito de Bolsonaro tem traços autoritários, mas apelar ao público é parte do jogo, diz brasilianista https://t.co/04uZIN7RLp;teste
Sem data para voltar ao Brasil, Silvio Santos resolve impasse com a filha nos EUA https://t.co/zje1TLAIa4;teste
Piñera comete gafe e diz que abusos acontecem por causa da 'posição das mulheres' https://t.co/WW2Y3ZT2o5;teste
"RT @AmonBorges: Pedir pizza por telefone é muito anos 80, diz diretor da Domino’s; a empresa está em expansão no Brasil e investindo em ino…";teste
BBB 20: Depois de censurar fala de Guilherme, Tiago Leifert não deixa Pyong falar https://t.co/QCY9BiwuUy;teste
Chefe da Força Nacional escalado por Moro elogiou coragem de PMs amotinados no Ceará https://t.co/yzk6f35i5D;teste
Após saída de médicos cubanos, mortes de bebês indígenas crescem 12% em 2019 https://t.co/3TlIQfaSAt;teste
Paulo Guedes recebe movimentos civis para defender reformas https://t.co/E50DrpLPjw;teste
Brasileira vende marmitas, rifas e ganha título europeu no jiu-jítsu https://t.co/ubQEb2MrBr;teste
BBB 20: Gizelly cogita dar um beijo na boca do desafeto Felipe Prior após o paredão https://t.co/YqODb8bNsF;teste
Democratas moderados se unem em torno de Biden antes da Super Terça https://t.co/fT7sQoGCoo;teste
Governo Trump limita presença de jornalistas de veículos estatais da China nos EUA https://t.co/AvyLEdlm5t;teste
BBB 20: Público pede saída de Guilherme e o chama de abusivo nas redes sociais https://t.co/I6Kn9t2whG;teste
"Pedir pizza por telefone é muito anos 80, diz diretor da Domino's. Leia no blog Inteligência de Mercado, por @AmonBorges 

https://t.co/8IrwIZWJS9";teste
Em Paris, Kanye West faz show-culto pré-desfile e Stella McCartney critica matança de animais https://t.co/CJENJzuCsZ;teste
Coronavírus faz eleição em Israel ter ares de filme de ficção científica https://t.co/huiRHmwGES;teste
Navio encalhado no Maranhão está estável e sem vazamentos, diz Ibama https://t.co/KdHNf2B2Fl;teste
".@TonyGoes | Maria Casadevall enche a câmera de porrada no filme 'A Garota da Moto'

https://t.co/kLH3YR42lk";teste
Taylor Swift lidera lista global de artistas com maiores vendas em 2019 https://t.co/ckZOwLx8a0;teste
Exposição revela como Rino Levi fez São Paulo se transmutar em metrópole https://t.co/TL2C1YF2ML;teste
Mortes: Defendeu os direitos humanos e a justiça social https://t.co/rjGRHfFZ6R;teste
"Gleisi Hoffmann e Lindbergh Faria são hostilizados em hotel no Rio
https://t.co/b8guTShyXl";teste
Metade dos contribuintes entregam IRPF nos últimos dez dias https://t.co/B4k9N8aePn;teste
Feira do Livro de Paris é cancelada por surto de coronavírus https://t.co/Z9qgcDEjJS;teste
"Desistência de Buttigieg e vitória de Biden colocam Sanders sob pressão na Super Terça (via @folha_mundo)

https://t.co/soafqraTeN";teste
Imigrantes fixam raízes no México enquanto esperam por asilo https://t.co/baJHIMEZj4;teste
Aérea neozelandesa planeja beliches para classe econômica em voos de longa duração https://t.co/zBjW4naHnw;teste
"Conheça pesquisadora por trás de material usado em coletes à prova de balas, cordas destinadas a missões espaciais, botas de bombeiros e raquetes, dentre várias outras aplicações. Leia no blog Síntese,  por @marianapezzo1

https://t.co/TxO2Xq1QnJ";teste
'Votei em Hillary, mas sou visto como traidor da esquerda', diz advogado que defendeu Trump https://t.co/hfEWyBytB6;teste
Vencedor da Berlinale diz que Revolução Islâmica levou Irã ao 'isolamento total' https://t.co/RhL5oQuRsF;teste
"Quatro cinco um | Arminio Fraga tenta persuadir tecnocratas e intelectuais de que reduzir a desigualdade é condição necessária para o crescimento
https://t.co/tc4MLyZDrw";teste
Contra coronavírus, escolas orientam de quarentena a não levar filho doente https://t.co/2AGfOOJ3Z7;teste
"Brasil atrapalha acordo e fica isolado em reunião da ONU sobre biodiversidade (via blog Ambiência, de @acarolamaral)

 https://t.co/JFp6uQJA9Z";teste
Alemã de 19 anos é aclamada pelos céticos do clima como a 'anti-Greta' https://t.co/1arH2GcGof;teste
PM destrói barracos em reintegração de posse com mil agentes em Manaus https://t.co/AuacM7pKaF;teste
"Jipe chinês faz ‘radiografia’ do subsolo no lado afastado da Lua. Leia no blog Mensageiro Sideral, por @salnog 

https://t.co/J0e61iIMY4";teste
Bolsas disparam com sinalização de estímulos econômicos https://t.co/8cW8F6n82v;teste
Aneel avaliará redução em custo extra gerado por bandeira tarifária na conta de luz https://t.co/UBJm3UHae8;teste
Justiça do Ceará manda soltar 43 PMs detidos em motim https://t.co/kQ9Bk70x0Q;teste
Surto de sarampo atinge 76 cadetes em academia da Força Aérea no interior de SP https://t.co/vDwehevT3q;teste
"Vinicius Mota | Tiranovírus e outros patógenos

https://t.co/XKffqiwaEG";teste
Juiz autoriza transferência de Adélio de prisão federal para 'local adequado' de tratamento https://t.co/6bnRcgZH4C;teste
"Morador joga lama em Crivella durante entrevista em área afetada pela chuva no Rio (via @folha_cotidiano)

https://t.co/5TszafDNT0";teste
Governador do Ceará defende ação de Cid e diz que união de forças acabou com motim https://t.co/AU8O2h8QBB;teste
Silvia Abravanel retorna ao comando do Bom Dia e Cia e diz que voltou para ficar https://t.co/GLHTlW8JhH;teste
Latam suspende voos entre SP e Milão por coronavírus e baixa demanda https://t.co/TnaqHO6ReK;teste
"Fotógrafo conta suas impressões sobre o Irã, país de constantes surpresas, por @faraoklimpel, do blog Check-in

https://t.co/bDvemsDlus";teste
Fundo gerido pelo BTG teve valorização de 30% no dia do cavalo de pau da Selic em 2011 https://t.co/YYBD5fgJf3;teste
Polícia investiga igreja no RS que anunciou imunização contra coronavírus https://t.co/WIpqb3ulPj;teste
"Uma passagem de 360 anos usada pelos monarcas britânicos foi redescoberta no Parlamento, em Londres, revelando um pedaço da história que teria sido permanentemente encoberto após a Segunda Guerra Mundial. 

https://t.co/1hmt85SX3Y";teste
".@MAMELO | A coabitação indesejada; Executivo com apoio parlamentar minoritário tem um leque de escolhas

https://t.co/90gtT5d0yY";teste
Morre James Lipton, apresentador do 'Inside the Actors Studio' https://t.co/CNeqW0IFn4;teste
Almeida se declara para Clotilde https://t.co/kTXos2WOoJ;teste
".@lemos_ronaldo | Procrastinar é trabalhar para os outros

https://t.co/IjlLS1XR42";teste
Boca de urna aponta vitória de Netanyahu em Israel https://t.co/LH9IT4rTbH;teste
Jack Welch, o gestor do século no mundo corporativo dos EUA, morre aos 84 anos https://t.co/Oz5Rkp5k7g;teste
"Marcia Dessen | Poupe dinheiro com organização

https://t.co/doFlG4sToz";teste
Mulheres organizam 'calcinhaço' em única Assembleia do país sem deputada https://t.co/s3DP1sr2sU;teste
Doria diz que reajuste a servidores não é bom para MG e deve ser revisto https://t.co/cXKSZcjthn;teste
"Sistemas de reconhecimento facial são bem convenientes para desbloquear o celular. São também ótimos aliados da segurança pública.

Por outro lado, são ferramentas para vigilância de países inteiros. Como lidar com essa tecnologia? (por @hernandesraph)

https://t.co/hHHkFE7vd1";teste
Genoma do coronavírus do 2º paciente com a doença no Brasil é diferente do 1º https://t.co/Exce4995Br;teste
Exportadores brasileiros já relatam efeitos pontuais de coronavírus https://t.co/TqV7oBLqh1;teste
"Ruy Castro | Garrincha Flamengo; Por baixo da camisa do Botafogo, o coração do ídolo batia pelas cores impensáveis

https://t.co/DmS1tt3B3j";teste
Apple pagará até US$ 500 mi nos EUA por lentidão de iPhones após atualizações https://t.co/hijsU12EDE;teste
"Folha realiza pré-estreia gratuita de 'Cem Quilos de Estrelas' 

https://t.co/DMorh1rFJm";teste
Contra coronavírus, igrejas vetam que fiéis deem as mãos em missas https://t.co/9oO7okslCR;teste
Lula volta a criticar Moro ao receber título de cidadão honorário de Paris https://t.co/l2vmVlmTXW;teste
Vaticano abre arquivos de Pio 12, papa acusado de omissão durante Holocausto https://t.co/ehNvVvJS8t;teste
